generation time,receive time,difference
1688631694,1688631849,155
1688631814,1688631927,113
1688631874,1688632007,133
1688631994,1688632086,92
1688632054,1688632164,110
1688632114,1688632244,130
1688632234,1688632324,90
1688632174,1688632404,230
1688631934,1688632485,551
1688631754,1688632564,810
