id,send_time,receive_time,difference
0,1687787795,1687787795,0
1,1687787799,1687787801,2
2,1687787803,1687787807,4
3,1687787807,1687787813,6
4,1687787811,1687787819,8
5,1687787815,1687787826,11
6,1687787819,1687787832,13
7,1687787823,1687787838,15
8,1687787827,1687787844,17
9,1687787831,1687787850,19
10,1687787835,1687787856,21
11,1687787839,1687787862,23
12,1687787843,1687787869,26
13,1687787847,1687787875,28
14,1687787851,1687787881,30
15,1687787855,1687787887,32
16,1687787859,1687787893,34
17,1687787863,1687787898,35
18,1687787867,1687787904,37
19,1687787871,1687787911,40
20,1687787875,1687787917,42
21,1687787879,1687787923,44
22,1687787883,1687787929,46
23,1687787887,1687787935,48
24,1687787891,1687787941,50
25,1687787895,1687787947,52
26,1687787899,1687787953,54
27,1687787903,1687787960,57
28,1687787907,1687787966,59
29,1687787911,1687787972,61
30,1687787915,1687787978,63
31,1687787919,1687787984,65
32,1687787923,1687787990,67
33,1687787927,1687787996,69
34,1687787931,1687788002,71
35,1687787935,1687788009,74
36,1687787939,1687788015,76
37,1687787943,1687788020,77
38,1687787947,1687788025,78
39,1687787951,1687788031,80
40,1687787955,1687788037,82
41,1687787959,1687788043,84
42,1687787963,1687788050,87
43,1687787967,1687788056,89
44,1687787971,1687788062,91
45,1687787975,1687788068,93
46,1687787979,1687788074,95
47,1687787983,1687788080,97
48,1687787987,1687788086,99
49,1687787991,1687788093,102
50,1687787995,1687788099,104
51,1687787999,1687788105,106
52,1687788003,1687788111,108
53,1687788007,1687788117,110
54,1687788011,1687788123,112
55,1687788015,1687788129,114
56,1687788019,0,-1687788019
57,1687788023,1687788135,112
58,1687788027,1687788142,115
59,1687788031,1687788147,116
60,1687788035,0,-1687788035
61,1687788039,1687788153,114
62,1687788043,1687788159,116
63,1687788047,0,-1687788047
64,1687788051,1687788165,114
65,1687788055,0,-1687788055
66,1687788059,1687788171,112
67,1687788063,1687788177,114
68,1687788067,0,-1687788067
69,1687788071,1687788183,112
70,1687788075,1687788190,115
71,1687788079,0,-1687788079
72,1687788083,1687788196,113
73,1687788087,1687788202,115
74,1687788091,0,-1687788091
75,1687788095,1687788208,113
76,1687788099,1687788214,115
77,1687788103,0,-1687788103
78,1687788107,1687788220,113
79,1687788111,1687788226,115
80,1687788115,0,-1687788115
81,1687788119,1687788233,114
82,1687788123,1687788239,116
83,1687788127,0,-1687788127
84,1687788131,1687788245,114
85,1687788135,1687788251,116
86,1687788139,0,-1687788139
87,1687788143,1687788257,114
88,1687788147,1687788263,116
89,1687788151,0,-1687788151
90,1687788155,1687788268,113
91,1687788159,1687788273,114
92,1687788163,0,-1687788163
93,1687788167,1687788280,113
94,1687788171,1687788286,115
95,1687788175,0,-1687788175
96,1687788179,1687788292,113
97,1687788183,1687788298,115
98,1687788187,0,-1687788187
99,1687788191,1687788304,113
100,1687788195,0,-1687788195
101,1687788199,0,-1687788199
102,1687788203,0,-1687788203
103,1687788208,0,-1687788208
104,1687788212,0,-1687788212
105,1687788216,0,-1687788216
106,1687788220,0,-1687788220
107,1687788224,0,-1687788224
108,1687788228,0,-1687788228
109,1687788232,0,-1687788232
110,1687788236,0,-1687788236
111,1687788240,0,-1687788240
112,1687788244,0,-1687788244
113,1687788248,0,-1687788248
114,1687788252,0,-1687788252
115,1687788256,0,-1687788256
116,1687788260,0,-1687788260
117,1687788264,1687788310,46
118,1687788268,0,-1687788268
119,1687788272,0,-1687788272
120,1687788276,0,-1687788276
121,1687788280,0,-1687788280
122,1687788284,0,-1687788284
123,1687788288,0,-1687788288
124,1687788292,0,-1687788292
125,1687788296,0,-1687788296
126,1687788300,0,-1687788300
127,1687788304,0,-1687788304
128,1687788308,0,-1687788308
129,1687788312,1687788317,5
130,1687788316,1687788323,7
131,1687788320,0,-1687788320
132,1687788324,0,-1687788324
133,1687788328,0,-1687788328
134,1687788332,1687788332,0
135,1687788336,0,-1687788336
136,1687788340,1687788340,0
137,1687788344,0,-1687788344
138,1687788348,1687788348,0
139,1687788352,1687788354,2
140,1687788356,1687788360,4
141,1687788360,1687788367,7
142,1687788364,1687788373,9
143,1687788368,1687788379,11
144,1687788372,1687788385,13
145,1687788376,1687788391,15
146,1687788380,1687788397,17
147,1687788384,1687788402,18
148,1687788388,1687788409,21
149,1687788392,1687788415,23
150,1687788396,1687788421,25
151,1687788400,1687788427,27
152,1687788404,1687788433,29
153,1687788408,1687788439,31
154,1687788412,1687788445,33
155,1687788416,1687788451,35
156,1687788420,1687788458,38
157,1687788424,1687788464,40
158,1687788428,1687788470,42
159,1687788432,1687788476,44
160,1687788436,1687788482,46
161,1687788440,1687788488,48
162,1687788444,1687788494,50
163,1687788448,1687788501,53
164,1687788452,1687788506,54
165,1687788456,1687788512,56
166,1687788460,1687788518,58
167,1687788464,1687788523,59
168,1687788468,1687788529,61
169,1687788472,1687788535,63
170,1687788476,1687788541,65
171,1687788480,1687788548,68
172,1687788484,1687788554,70
173,1687788488,1687788560,72
174,1687788492,1687788566,74
175,1687788496,1687788572,76
176,1687788500,1687788578,78
177,1687788504,1687788584,80
178,1687788508,1687788591,83
179,1687788512,1687788597,85
180,1687788516,1687788603,87
181,1687788520,1687788609,89
182,1687788524,1687788615,91
183,1687788528,1687788621,93
184,1687788532,1687788627,95
185,1687788536,1687788633,97
186,1687788540,1687788640,100
187,1687788544,1687788645,101
188,1687788548,1687788651,103
189,1687788552,1687788657,105
190,1687788556,1687788663,107
191,1687788560,1687788669,109
192,1687788564,0,-1687788564
193,1687788568,1687788675,107
194,1687788572,1687788682,110
195,1687788576,0,-1687788576
196,1687788580,1687788688,108
197,1687788584,1687788694,110
198,1687788588,0,-1687788588
199,1687788592,1687788700,108
200,1687788596,1687788706,110
201,1687788600,0,-1687788600
202,1687788604,1687788712,108
203,1687788608,0,-1687788608
204,1687788612,1687788718,106
205,1687788616,1687788724,108
206,1687788620,0,-1687788620
207,1687788624,1687788731,107
208,1687788628,1687788737,109
209,1687788632,0,-1687788632
210,1687788636,1687788743,107
211,1687788640,1687788749,109
212,1687788644,1687788755,111
213,1687788648,0,-1687788648
214,1687788652,1687788761,109
215,1687788656,0,-1687788656
216,1687788660,1687788766,106
217,1687788664,1687788773,109
218,1687788668,0,-1687788668
219,1687788672,1687788779,107
220,1687788676,1687788785,109
221,1687788680,0,-1687788680
222,1687788685,1687788791,106
223,1687788689,1687788797,108
224,1687788693,0,-1687788693
225,1687788697,1687788803,106
226,1687788701,1687788809,108
227,1687788705,0,-1687788705
228,1687788709,1687788816,107
229,1687788713,1687788822,109
230,1687788717,0,-1687788717
231,1687788721,1687788828,107
232,1687788725,1687788834,109
233,1687788729,0,-1687788729
234,1687788733,1687788840,107
235,1687788737,1687788846,109
236,1687788741,0,-1687788741
237,1687788745,1687788852,107
238,1687788749,0,-1687788749
239,1687788753,1687788859,106
240,1687788757,1687788865,108
241,1687788761,0,-1687788761
242,1687788765,1687788871,106
243,1687788769,1687788877,108
244,1687788773,1687788883,110
245,1687788777,0,-1687788777
246,1687788781,1687788888,107
247,1687788785,1687788894,109
248,1687788789,0,-1687788789
249,1687788793,1687788900,107
250,1687788797,0,-1687788797
251,1687788801,1687788907,106
252,1687788805,1687788913,108
253,1687788809,0,-1687788809
254,1687788813,1687788919,106
255,1687788817,1687788925,108
256,1687788821,0,-1687788821
257,1687788825,1687788931,106
258,1687788829,1687788937,108
259,1687788833,0,-1687788833
260,1687788837,1687788943,106
261,1687788841,1687788949,108
262,1687788845,0,-1687788845
263,1687788849,1687788956,107
264,1687788853,1687788962,109
265,1687788857,0,-1687788857
266,1687788861,1687788968,107
267,1687788865,1687788974,109
268,1687788869,0,-1687788869
269,1687788873,1687788980,107
270,1687788877,1687788986,109
271,1687788881,0,-1687788881
272,1687788885,1687788992,107
273,1687788889,1687788999,110
274,1687788893,0,-1687788893
275,1687788897,1687789005,108
276,1687788901,1687789010,109
277,1687788905,0,-1687788905
278,1687788909,1687789016,107
279,1687788913,1687789022,109
280,1687788917,0,-1687788917
281,1687788921,1687789028,107
282,1687788925,1687789034,109
283,1687788929,0,-1687788929
284,1687788933,1687789041,108
285,1687788937,1687789047,110
286,1687788941,0,-1687788941
287,1687788945,1687789053,108
288,1687788949,0,-1687788949
289,1687788953,1687789059,106
290,1687788957,1687789065,108
291,1687788961,0,-1687788961
292,1687788965,1687789071,106
293,1687788969,1687789077,108
294,1687788973,0,-1687788973
295,1687788977,1687789083,106
296,1687788981,1687789090,109
297,1687788985,0,-1687788985
298,1687788989,1687789096,107
299,1687788993,1687789102,109
